"2020-08-23 18:21","Cidtronyck","Esta Noche (feat. Portavoz, Niel & Evelyn Cornejo)","268906"
"2020-08-23 18:25","Chystemc","La Pronoia del Sun Joke Fú","234037"
"2020-08-23 18:29","Cevlade","La Apología de Lucifer","250880"
"2020-08-23 18:33","Rapper School","Mientras Duermen (feat. Samurai, Negro Gonzáles & B.Man)","264945"
"2020-08-23 18:35","Sondelvalle","Sonido Fresco","117975"
"2020-08-24 05:07","Chystemc","La Pronoia del Sun Joke Fú","234037"
"2020-08-24 05:08","Andrés Calamaro","Crímenes perfectos","270"
"2020-08-24 05:08","EnSecreto","Quizás","77832"
"2020-08-24 05:12","Andrés Calamaro","Crímenes perfectos","264840"
"2020-08-24 05:13","Soda Stereo","Te Para 3 - MTV Unplugged","3480"
"2020-08-24 05:16","Topher","Crews","186506"
"2020-08-24 15:05","50 Cent","In Da Club","5200"
"2020-08-24 15:12","Vinícius de Moraes","Samba Da Benção","410133"
"2020-08-24 15:17","Inti-Illimani","Arauco Tiene una Pena","263733"
"2020-08-24 15:21","Inti Illimani Histórico","Samba Landó - En Vivo","295666"
"2020-08-24 15:25","Silvio Rodríguez","Me Quieren...","222579"
"2020-08-24 15:28","Silvio Rodríguez","Óleo de Mujer Con Sombrero","144632"
"2020-08-24 15:31","Silvio Rodríguez","Ojalá","212481"
"2020-08-24 19:20","Illapu","Sobreviviendo","326142"
"2020-08-24 20:32","Chystemc","La Pronoia del Sun Joke Fú","292796"
"2020-08-24 20:36","Duki","A Punta de Espada","202666"
"2020-08-24 20:40","Canserbero","Buenas Noches","236225"
"2020-08-24 20:43","Moral Distraida","Canción Bonita","227133"
"2020-08-24 20:50","Moral Distraida","Qué Pasará","391173"
"2020-08-25 00:33","Movimiento Original","Tren","185"
"2020-08-25 00:33","Colectivo Paradise","Solcito","1034"
"2020-08-25 00:37","Fito Paez","11 y 6","237946"
"2020-08-25 00:42","Lágrimas De Sangre","Buen Viaje","340253"
"2020-08-25 00:46","Sui Generis","Fabricante De Mentiras","210007"
"2020-08-25 01:52","Chystemc","La Pronoia del Sun Joke Fú","108814"
"2020-08-25 17:26","Luis Alberto Spinetta","Bajan (En Vivo) (feat. Gustavo Cerati)","225906"
"2020-08-25 17:30","Andrés Calamaro","Crímenes perfectos","264840"
"2020-08-25 17:34","Andrés Calamaro","Donde manda marinero","244866"
"2020-08-25 17:39","Mancha De Rolando","Arde la Ciudad","252760"
"2020-08-25 17:41","Fito Paez","Bello Abril","132758"
"2020-08-26 05:43","Invisible","El Anillo del Capitán Beto","306626"
"2020-08-26 05:45","La Maquina De Hacer Pájaros","Como Mata el Viento Norte","164440"
"2020-08-26 05:48","Pappo","Juntos a la Par","161133"
"2020-08-26 05:50","Sui Generis","Necesito","133960"
